perfumeId,name,genres
1,name1,Adventure|Animation|Children|Comedy|Fantasy
2,name2,Adventure|Children|Fantasy
3,name3,Comedy|Romance
4,name4,Comedy|Drama|Romance
5,name5,Comedy
6,name6,Action|Crime|Thriller
7,name7,Comedy|Romance
8,name8,Adventure|Children
9,name9,Action
10,name10,Action|Adventure|Thriller
11,name11,Comedy|Drama|Romance
12,name12,Comedy|Horror
13,name13,Adventure|Animation|Children
14,name14,Drama
15,name15,Action|Adventure|Romance
16,name16,Crime|Drama
17,name17,Drama|Romance
18,name18,Comedy
19,name19,Comedy
20,name20,Action|Comedy|Crime|Drama|Thriller
21,name21,Comedy|Crime|Thriller
22,name22,Crime|Drama|Horror|Mystery|Thriller
23,name23,Action|Crime|Thriller
24,name24,Drama|Sci-Fi
25,name25,Drama|Romance
26,name26,Drama
27,name27,Children|Drama
28,name28,Drama|Romance
29,name29,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,name30,Crime|Drama
31,name31,Drama
32,name32,Mystery|Sci-Fi|Thriller
33,name33,Adventure|Romance|IMAX
34,name34,Children|Drama
35,name35,Drama|Romance
36,name36,Crime|Drama
39,name37,Comedy|Romance
40,name38,Drama
41,name39,Drama|War
42,name40,Action|Crime|Drama
43,name41,Drama
44,name42,Action|Adventure|Fantasy
45,name43,Comedy|Drama|Thriller
46,name44,Drama|Romance
47,name45,Mystery|Thriller
48,name46,Animation|Children|Drama|Musical|Romance
49,name47,Drama|Romance
50,name48,Crime|Mystery|Thriller
52,name49,Comedy|Drama|Romance
53,name50,Adventure|Drama
54,name51,Children|Comedy
55,name52,Drama
57,name53,Drama
58,name54,Comedy|Drama|Romance
59,name55,Drama|Mystery
60,name56,Adventure|Children|Fantasy
61,name57,Drama|Thriller
62,name58,Drama
63,name59,Comedy|Crime
64,name60,Comedy|Romance
65,name61,Comedy
66,name62,Action|Sci-Fi|Thriller
68,name63,Comedy|Romance
69,name64,Comedy
70,name65,Action|Comedy|Horror|Thriller
71,name66,Action
72,name67,Comedy|Drama
73,name68,Drama|War
74,name69,Drama|Romance
75,name70,Comedy|Drama
76,name71,Action|Sci-Fi|Thriller
78,name72,Action|Crime|Drama|Thriller
79,name73,Drama|Thriller
80,name74,Children|Drama
81,name75,Crime|Drama|Romance
82,name76,Comedy|Drama
83,name77,Drama|Romance
84,name78,Comedy|Drama
85,name79,Drama|Romance
86,name80,Action|Adventure|Drama
87,name81,Children|Comedy
88,name82,Comedy
89,name83,Action|Thriller
90,name84,Drama
92,name85,Drama|Horror|Thriller
93,name86,Comedy|Horror|Romance
94,name87,Comedy|Drama|Romance
95,name88,Action|Adventure|Thriller
96,name89,Comedy|Drama
97,name90,Crime|Drama
100,name91,Drama|Thriller
101,name92,Adventure|Comedy|Crime|Romance
102,name93,Comedy
